id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
70,18600,무늬털머위,https://nongsaro.go.kr/cms_contents/301/18600_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18600_MF_ATTACH_01_TMB.jpg,40,40,16~20℃,16,20,1,40 ~ 70%,40,70,0110,"여름, 가을",800~10000 Lux,800,10000,1,0,300,0,3,3,3,3,5,5,5℃
71,18602,무늬팻츠헤데라,https://nongsaro.go.kr/cms_contents/301/18602_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18602_MF_REPR_ATTACH_01_TMB.jpg,40,50,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,5,5,5℃
72,18604,무늬푸밀라고무나무 ,https://nongsaro.go.kr/cms_contents/301/18604_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18604_MF_REPR_ATTACH_01_TMB.jpg,30,20,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,500,0,3,3,3,4,7,7,7℃
73,18649,뮤렌베키아,https://nongsaro.go.kr/cms_contents/301/18649_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18649_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,50,500,0,3,3,3,4,10,10,10℃
74,18656,바위취,https://nongsaro.go.kr/cms_contents/301/18656_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/18656_MF_ATTACH_02_TMB.jpg,20,20,16~20℃,16,20,2,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,,0,0℃ 이하
75,18659,박쥐란,https://nongsaro.go.kr/cms_contents/301/18659_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18659_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,13,,13℃ 이상
76,18692,반딧불털머위,https://nongsaro.go.kr/cms_contents/301/18692_MF_ATTACH_03.jpg,https://nongsaro.go.kr/cms_contents/301/18692_MF_ATTACH_03_TMB.jpg,40,40,16~20℃,16,20,1,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,2,0,300,0,3,3,3,3,5,5,5℃
77,18694,백량금,https://nongsaro.go.kr/cms_contents/301/18694_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18694_MF_ATTACH_01_TMB.jpg,40,90,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,2,0,,0,3,3,3,3,5,5,5℃
78,14915,백정화,https://nongsaro.go.kr/cms_contents/301/14915_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14915_MF_ATTACH_01_TMB.jpg,40,50,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,50,150,0,3,3,3,4,5,5,5℃
79,14916,백화등,https://nongsaro.go.kr/cms_contents/301/14916_MF_ATTACH_03.jpg,https://nongsaro.go.kr/cms_contents/301/14916_MF_ATTACH_03_TMB.jpg,50,50,16~20℃,16,20,1,40 ~ 70%,40,70,1000,봄,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,,0,0℃ 이하
80,14919,벤자민고무나무,https://nongsaro.go.kr/cms_contents/301/14919_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14919_MF_REPR_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,3,3,3,3,13,,13℃ 이상
81,15828,벤자민고무나무 킹,https://nongsaro.go.kr/cms_contents/301/15828_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/15828_MF_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,3,0,500,0,3,3,3,3,13,,13℃ 이상
82,15831,벵갈고무나무,https://nongsaro.go.kr/cms_contents/301/15831_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/15831_MF_REPR_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,300,5,3,3,3,3,13,,13℃ 이상
83,15835,병솔나무,https://nongsaro.go.kr/cms_contents/301/15835_MF_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/15835_MF_ATTACH_01_TMB.JPG,50,100,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,3,0,300,0,3,3,3,4,7,7,7℃
84,16037,보스톤고사리,https://nongsaro.go.kr/cms_contents/301/16037_MF_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/16037_MF_ATTACH_01_TMB.JPG,40,40,16~20℃,16,20,2,70% 이상,40,70,0000,,800~10000 Lux,800,10000,2,50,500,0,2,2,2,3,13,,13℃ 이상
85,16138,봉의꼬리,https://nongsaro.go.kr/cms_contents/301/16138_MF_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/16138_MF_ATTACH_01_TMB.JPG,40,40,16~20℃,16,20,1,70% 이상,70,,0000,,800~10000 Lux,800,10000,2,50,500,0,2,2,2,3,5,5,5℃
86,18613,부겐빌레아,https://nongsaro.go.kr/cms_contents/301/18613_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18613_MF_REPR_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,2,40 ~ 70%,40,70,1110,"봄, 여름, 가을",800~10000 Lux,800,10000,3,0,300,0,2,2,2,2,13,,13℃ 이상
87,18652,브룬펠시아,https://nongsaro.go.kr/cms_contents/301/18652_MF_ATTACH_04.jpg,https://nongsaro.go.kr/cms_contents/301/18652_MF_ATTACH_04_TMB.jpg,100,150,21~25℃,21,25,2,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,10,10,10℃
88,18655,브리세아,https://nongsaro.go.kr/cms_contents/301/18655_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18655_MF_REPR_ATTACH_01_TMB.jpg,30,60,21~25℃,21,25,2,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,13,,13℃ 이상
89,18695,비젯티접란,https://nongsaro.go.kr/cms_contents/301/18695_MF_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/18695_MF_ATTACH_01_TMB.JPG,40,40,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,300,0,3,3,3,4,10,10,10℃
90,18697,비타툼접란,https://nongsaro.go.kr/cms_contents/301/18697_MF_REPR_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/18697_MF_REPR_ATTACH_01_TMB.JPG,40,40,21~25℃,21,25,1,40% 미만,,40,0000,,300~1500 Lux,300,1500,2,0,300,0,3,3,3,4,7,7,7℃
91,19448,산세베리아,https://nongsaro.go.kr/cms_contents/301/19448_MF_ATTACH_03.jpg,https://nongsaro.go.kr/cms_contents/301/19448_MF_ATTACH_03_TMB.jpg,30,70,21~25℃,21,25,2,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,,0,3,3,3,4,13,,13℃ 이상
92,19449,산세베리아 골든 하니,https://nongsaro.go.kr/cms_contents/301/19449_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19449_MF_REPR_ATTACH_01_TMB.jpg,20,25,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,,0,3,3,3,4,13,,13℃ 이상
93,19451,산호수,https://nongsaro.go.kr/cms_contents/301/19451_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19451_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,2,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,1,50,500,0,3,3,3,4,5,5,5℃
94,19452,삼색데코라고무나무,https://nongsaro.go.kr/cms_contents/301/19452_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19452_MF_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,13,,13℃ 이상
95,19453,상록넉줄고사리 후마타,https://nongsaro.go.kr/cms_contents/301/19453_MF_ATTACH_01.gif,https://nongsaro.go.kr/cms_contents/301/19453_MF_ATTACH_01_TMB.gif,30,25,16~20℃,16,20,2,70% 이상,40,70,0000,,300~1500 Lux,300,1500,2,0,,0,2,2,2,3,5,5,5℃
96,19455,새우란,https://nongsaro.go.kr/cms_contents/301/19455_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19455_MF_REPR_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,0,40 ~ 70%,40,70,1100,"봄, 여름",800~1500 Lux,800,1500,3,0,150,0,3,3,3,4,7,7,7℃
97,19457,석창포,https://nongsaro.go.kr/cms_contents/301/19457_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19457_MF_ATTACH_01_TMB.jpg,30,40,16~20℃,16,20,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,0,2,2,2,3,,0,0℃ 이하
98,19460,세네시오 라디칸스,https://nongsaro.go.kr/cms_contents/301/19460_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19460_MF_REPR_ATTACH_01_TMB.jpg,30,25,21~25℃,21,25,2,40% 미만,,40,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
99,19663,세이프릿지 야자,https://nongsaro.go.kr/cms_contents/301/19663_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19663_MF_ATTACH_01_TMB.jpg,100,300,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,150,5,3,3,3,3,13,,13℃ 이상
100,19696,셀라기넬라,https://nongsaro.go.kr/cms_contents/301/19696_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19696_MF_REPR_ATTACH_01_TMB.jpg,30,25,21~25℃,21,25,1,70% 이상,70,,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,13,,13℃ 이상
101,19701,소철,https://nongsaro.go.kr/cms_contents/301/19701_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19701_MF_REPR_ATTACH_01_TMB.jpg,100,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,500,0,3,3,3,4,5,5,5℃
102,19703,소피아 고무나무,https://nongsaro.go.kr/cms_contents/301/19703_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19703_MF_REPR_ATTACH_01_TMB.jpg,100,150,15~30℃,15,30,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,3,0,500,0,3,3,3,4,13,,13℃ 이상
103,19704,솔레이롤리아,https://nongsaro.go.kr/cms_contents/301/19704_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19704_MF_REPR_ATTACH_01_TMB.jpg,30,5,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,0,4,4,4,4,5,5,5℃
104,19706,수박페페로미아,https://nongsaro.go.kr/cms_contents/301/19706_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19706_MF_REPR_ATTACH_01_TMB.jpg,20,20,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
105,19709,수박필레아,https://nongsaro.go.kr/cms_contents/301/19709_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19709_MF_REPR_ATTACH_01_TMB.jpg,30,40,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,5,0,300,0,3,3,3,4,13,,13℃ 이상
106,19711,수염 틸란드시아,https://nongsaro.go.kr/cms_contents/301/19711_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19711_MF_REPR_ATTACH_01_TMB.jpg,25,50,21~25℃,21,25,0,70% 이상,70,,0000,,800~10000 Lux,800,10000,3,0,500,0,2,2,2,2,13,,13℃ 이상
107,19713,숙근이베리스,https://nongsaro.go.kr/cms_contents/301/19713_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19713_MF_REPR_ATTACH_01_TMB.jpg,25,25,21~25℃,21,25,0,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,3,0,300,0,3,3,3,4,10,10,10℃
108,19715,쉐플레라 홍콩,https://nongsaro.go.kr/cms_contents/301/19715_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19715_MF_ATTACH_01_TMB.jpg,50,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,,0,3,3,3,4,7,7,7℃
109,19716,스킨답서스,https://nongsaro.go.kr/cms_contents/301/19716_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19716_MF_REPR_ATTACH_01_TMB.jpg,30,20,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,,0,3,3,3,4,13,,13℃ 이상
110,19717,스파티필룸,https://nongsaro.go.kr/cms_contents/301/19717_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19717_MF_REPR_ATTACH_01_TMB.jpg,30,40,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,2,0,,1,3,3,3,4,13,,13℃ 이상
111,19718,스파티필룸(광엽),https://nongsaro.go.kr/cms_contents/301/19718_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19718_MF_ATTACH_01_TMB.jpg,40,60,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,2,0,,1,3,3,3,4,13,,13℃ 이상
112,19719,시서스,https://nongsaro.go.kr/cms_contents/301/19719_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19719_MF_ATTACH_01_TMB.jpg,40,30,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,3,3,3,3,13,,13℃ 이상
113,19707,시클라멘,https://nongsaro.go.kr/cms_contents/301/19707_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19707_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,0,40 ~ 70%,40,70,1001,"봄, 겨울",800~10000 Lux,800,10000,3,0,300,0,3,2,3,3,7,7,7℃
114,19712,심비디움,https://nongsaro.go.kr/cms_contents/301/19712_MF_ATTACH_01.JPG,https://nongsaro.go.kr/cms_contents/301/19712_MF_ATTACH_01_TMB.JPG,30,50,21~25℃,21,25,1,70% 이상,70,,0001,겨울,800~10000 Lux,800,10000,3,0,150,0,4,3,3,4,10,10,10℃
115,19714,싱고니움,https://nongsaro.go.kr/cms_contents/301/19714_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/19714_MF_ATTACH_02_TMB.jpg,30,30,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,3,4,10,10,10℃
116,19469,아글라오네마,https://nongsaro.go.kr/cms_contents/301/19469_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19469_MF_ATTACH_01_TMB.jpg,30,50,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,,0,3,3,3,4,13,,13℃ 이상
117,19468,아데니움,https://nongsaro.go.kr/cms_contents/301/19468_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19468_MF_ATTACH_01_TMB.jpg,30,40,21~25℃,21,25,0,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,2,0,300,0,4,4,4,4,13,,13℃ 이상
118,19467,아디안텀,https://nongsaro.go.kr/cms_contents/301/19467_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19467_MF_REPR_ATTACH_01_TMB.jpg,30,40,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,5,0,300,0,3,3,3,4,13,,13℃ 이상
119,19466,아라우카리아,https://nongsaro.go.kr/cms_contents/301/19466_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19466_MF_ATTACH_01_TMB.jpg,50,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,500,0,3,3,3,4,5,5,5℃
120,19465,아레카야자,https://nongsaro.go.kr/cms_contents/301/19465_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/19465_MF_ATTACH_05_TMB.jpg,100,200,21~25℃,21,25,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
121,19470,아마릴리스,https://nongsaro.go.kr/cms_contents/301/19470_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19470_MF_ATTACH_01_TMB.jpg,30,50,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,1,0,150,0,3,2,3,4,7,7,7℃
122,19464,아스파라거스 풀루모수스,https://nongsaro.go.kr/cms_contents/301/19464_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19464_MF_REPR_ATTACH_01_TMB.jpg,50,100,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,10,10,10℃
123,19463,아스플레니움,https://nongsaro.go.kr/cms_contents/301/19463_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19463_MF_ATTACH_01_TMB.jpg,30,40,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,0,1,1,1,3,10,10,10℃
124,19462,아왜나무,https://nongsaro.go.kr/cms_contents/301/19462_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19462_MF_ATTACH_01_TMB.jpg,50,150,16~20℃,16,20,1,40 ~ 70%,40,70,1000,봄,800~10000 Lux,800,10000,1,0,500,0,3,3,3,4,,0,0℃ 이하
125,19461,아이비,https://nongsaro.go.kr/cms_contents/301/19461_MF_ATTACH_08.jpg,https://nongsaro.go.kr/cms_contents/301/19461_MF_ATTACH_08_TMB.jpg,40,30,16~20℃,16,20,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,500,0,2,2,2,3,5,5,5℃
126,19459,아펠란드라,https://nongsaro.go.kr/cms_contents/301/19459_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19459_MF_ATTACH_01_TMB.jpg,30,50,21~25℃,21,25,1,40 ~ 70%,40,70,1001,"봄, 겨울",800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
127,18691,아프리칸 바이올렛,https://nongsaro.go.kr/cms_contents/301/18691_MF_REPR_ATTACH_01.gif,https://nongsaro.go.kr/cms_contents/301/18691_MF_REPR_ATTACH_01_TMB.gif,20,20,16~20℃,16,20,1,40 ~ 70%,40,70,1101,"봄, 여름, 겨울",800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
128,18660,안수리움,https://nongsaro.go.kr/cms_contents/301/18660_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18660_MF_REPR_ATTACH_01_TMB.jpg,40,60,21~25℃,21,25,1,40 ~ 70%,40,70,1111,"봄, 여름, 가을, 겨울",800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
129,18658,알로카시아 아마조니카,https://nongsaro.go.kr/cms_contents/301/18658_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18658_MF_REPR_ATTACH_01_TMB.jpg,40,60,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,2,2,2,3,13,,13℃ 이상
130,19471,알로카시아 쿠쿨라타,https://nongsaro.go.kr/cms_contents/301/19471_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19471_MF_ATTACH_01_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,2,2,2,3,13,,13℃ 이상
131,18657,얼룩자주달개비,https://nongsaro.go.kr/cms_contents/301/18657_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18657_MF_REPR_ATTACH_01_TMB.jpg,40,20,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,10,10,10℃
132,18654,에메랄드리플 페페로미아,https://nongsaro.go.kr/cms_contents/301/18654_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18654_MF_REPR_ATTACH_01_TMB.jpg,20,25,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,50,500,0,3,3,3,4,13,,13℃ 이상
133,18601,에크메아 파시아타,https://nongsaro.go.kr/cms_contents/301/18601_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18601_MF_ATTACH_01_TMB.jpg,40,50,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,0,3,3,3,3,13,,13℃ 이상
134,18598,엘라티올 베고니아,https://nongsaro.go.kr/cms_contents/301/18598_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18598_MF_REPR_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,1,40 ~ 70%,40,70,1110,"봄, 여름, 가을",1500~10000 Lux,1500,10000,2,0,300,0,3,3,3,3,13,,13℃ 이상
135,18595,여우꼬리풀,https://nongsaro.go.kr/cms_contents/301/18595_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18595_MF_REPR_ATTACH_01_TMB.jpg,30,25,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,3,0,300,0,4,3,3,4,13,,13℃ 이상
136,18591,엽란,https://nongsaro.go.kr/cms_contents/301/18591_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18591_MF_REPR_ATTACH_01_TMB.jpg,30,60,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,,0,3,3,3,4,5,5,5℃
137,19474,옥살리스(사랑초),https://nongsaro.go.kr/cms_contents/301/19474_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/19474_MF_REPR_ATTACH_01_TMB.jpg,25,25,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,0,3,3,3,4,10,10,10℃
138,18589,온시디움,https://nongsaro.go.kr/cms_contents/301/18589_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18589_MF_ATTACH_01_TMB.jpg,30,50,21~25℃,21,25,0,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,4,3,4,4,13,,13℃ 이상
139,18588,왜란,https://nongsaro.go.kr/cms_contents/301/18588_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/18588_MF_REPR_ATTACH_01_TMB.jpg,10,10,10~15℃,10,15,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,,0,0℃ 이하
